,,"Backporting: fix will be backported to a previous release - don't show in final release notes.
2017.3 Feature/Regression: fix pertains to a feature in this release - don't show in final release notes.
Internal: fix pertains to something that we don’t necessarily want to advertise - don't show in any release notes.
Existing issue: everything else - show in alpha/beta and final release notes. (confused? ask on #release-management)",,"Note: Please use Markdown format inside cell. Also, expect the whole cell to be prefixed with a ""- "" to turn into a bullet item, so prefix spaces for internal bullets as necessary.",,Doc Team Usage,,
2017.3.0a1,920625,Existing Issue (show in final notes),Animation,Fixed crash in invalid state machine transition,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/mecanim-statemachine-getblendtreeconstant-crashes-when-animation-is-ended,
2017.3.0a1,919054,Existing Issue (show in final notes),Animation,Fixed assertion message displayed when using override controllers with legacy clips,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/mecanimdatawasbuilt-assert-after-opening-project,
2017.3.0a1,883899,Existing Issue (show in final notes),Animation,Fixed erroneous visual feedback for the transition in the AnimatorController when transition time is negative,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/animationclipplayable-setclip-crashes-unity-when-animation-is-recorded-and-replayed,
2017.3.0a1,893779,Existing Issue (show in final notes),Animation,Fixed AnimatorState's WriteDefaults not working properly on very specific setups,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/some-parts-of-the-model-becomes-invisable-when-animations-blend,
2017.3.0a1,810415,Existing Issue (show in final notes),Animation,Fixed default values when setting an OverrideController,Romain Failliot,,https://issuetracker.unity3d.com/issues/changing-animator-dot-runtimeanimatorcontroller-changes-default-state-values,
2017.3.0a1,888864,Existing Issue (show in final notes),Animation,Display clip name in clip importer preview title,Romain Failliot,,https://issuetracker.unity3d.com/issues/previewer-clip-name-does-not-appear-on-fbx-preview,
2017.3.0a1,,Existing Issue (show in final notes),Android,Fixed issue preventing apps using OBB from launching after install from Google Play,David Rogers,,,
2017.3.0a1,909748,Backporting (show in alpha/beta notes only),2D,Fixed Aniso Level on Texture stuck on 16 when imported as Sprite Texture and without mipmaps enabled,Venkatesh,,https://issuetracker.unity3d.com/issues/aniso-level-on-texture-stuck-on-16-any-attempt-to-apply-changes-to-it-fails-and-it-reverts-to-16-again,
2017.3.0a1,916747,Backporting (show in alpha/beta notes only),2D,"Fixed ""Unapplied Module Changes"" Window appears when no changes are made to Edit Outline/Edit Physics Shape",Leo Yaik,,https://issuetracker.unity3d.com/issues/2d-unapplied-module-changes-window-appears-when-no-changes-are-made-to-edit-outline-slash-edit-physics-shape,
2017.3.0a1,916742,Backporting (show in alpha/beta notes only),2D,Fixed text for Edit Physics Shape is cutoff in Sprite Editor window regardless of window size,Leo Yaik,,,
2017.3.0a1,916845,Backporting (show in alpha/beta notes only),2D,"Console warning ""Texture being dragged has no Sprites"" is removed when Texture with no Sprite is being dragged onto Scene window",Leo Yaik,,https://issuetracker.unity3d.com/issues/console-warning-texture-being-dragged-has-no-sprites-is-printed-infinitely-when-sprite-is-being-dragged-on-scene-window,
2017.3.0a1,922540,Backporting (show in alpha/beta notes only),2D,Fixed Sprites from the same texture do not packed correctly when mixed interchangeably in the Sprite Atlas packable list.,Yuan Kuan Seng,,,
2017.3.0a1,920771,Backporting (show in alpha/beta notes only),2D,Removed error message when multiple selecting asset while locking Sprite Atlas inspector and pack preview.,Yuan Kuan Seng,,,
2017.3.0a1,778068,Existing Issue (show in final notes),Editor,[Profiler] Shows no data if docked and Game View is maximized,Damian Campeanu,,https://issuetracker.unity3d.com/issues/profiler-shows-no-data-if-docked-and-game-view-is-maximized,
2017.3.0a1,919459,Existing Issue (show in final notes),XR,"Eye textures are no longer reallocated every frame when the main camera has MSAA disabled, but it is enabled for the VR device.",Peter Freese,,,
2017.3.0a1,885388,Backporting (show in alpha/beta notes only),Editor,Fix bug where logging in to Unity Account in Editor would create spurious errors,Marc Templin,,https://issuetracker.unity3d.com/issues/collab-unityconnectuserinforequest-and-unityconnectorganizationrequest-on-login-to-unity-with-collab-enabled,
2017.3.0a1,920085,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix crash when invoking LINQ expressions,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/os-x-unity-crashes-when-using-custom-types-in-linq-expressions-on-mac-pcs,
2017.3.0a1,922668,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix crash when a referenced a missing assembly,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/dot-net-4-dot-6-editor-crashes-if-an-assembly-was-built-with-a-reference-to-an-older-version-of-another-assembly-in-the-project,
2017.3.0a1,922636,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix crash when stack overflow is encountered on Windows 64-bit,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/unity-crashes-instead-of-throwing-stackoverflowexception-error-dot-net-4-dot-6,
2017.3.0a1,915672,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix hang that may result when bug reporter is shown,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/bug-report-window-appears-after-closing-specific-project,
2017.3.0a1,911456,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix hang that may result when exiting,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/editor-freezes-when-downgrading-from-net-4-dot-6-to-3-dot-5-and-selecting-to-restart-editor,
2017.3.0a1,923404,Backporting (show in alpha/beta notes only),Scripting Upgrade,"Fix corrupt build when ""Scripts only build"" is performed",Jonathan Chambers,,https://issuetracker.unity3d.com/issues/built-player-can-not-be-opened-due-to-error-failed-to-load-mono-when-scrips-only-build-is-enabled-and-mono-net-is-changed,
2017.3.0a1,899417,Backporting (show in alpha/beta notes only),Scripting,Fix missing C# compiler error CS0165,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/error-use-of-unassigned-variable-is-thrown-in-console-only-when-an-unrelated-else-block-is-written,
2017.3.0a1,919929,Backporting (show in alpha/beta notes only),Scripting Upgrade,"Fix crash with message box ""Fatal error in GC: Too many root sets"" ",Jonathan Chambers,,https://issuetracker.unity3d.com/issues/editor-crash-after-fatal-error-in-gc-message-when-rebuilding-in-voxeland-asset,
2017.3.0a1,880426,Backporting (show in alpha/beta notes only),Linux,Addiitonal fix for initializing screen dimensions (mouse input),Levi Bard,,https://issuetracker.unity3d.com/issues/linux-input-dot-mouseposition-returns-infinity-or-nan-in-fullscreen-mode,
2017.3.0a1,920394,Existing Issue (show in final notes),Graphics,"Fix second display rendering on Android/iOS when Camera.targetDisplay is not zero, Camera.targetDisplay is now completely ignored on these platforms",Tomas Dirvanauskas,,https://issuetracker.unity3d.com/issues/android-when-the-device-has-a-second-display-and-a-script-which-splits-screen-the-view-is-the-same-in-both-displays,
2017.3.0a1,927711,2017.3 Feature/Regression,Editor,"Test Runner UI is missing name, result and category filters",Tomek,,,
2017.3.0a1,921598,Backporting (show in alpha/beta notes only),Graphics,"Fixes sprite mode appearing as ""None"" after changing texture type via script",Daniel Schuller,,https://issuetracker.unity3d.com/issues/sprite-mode-is-blank-after-changing-texture-type-via-script,
2017.3.0a1,898152,2017.3 Feature/Regression,Editor,"Fixed the ""Open"" being visible in Project Settings inspectors",Tomek,,,
2017.3.0a1,911429,Existing Issue (show in final notes),Graphics,Make flares respond to 2D colliders,Richard Kettlewell,,https://issuetracker.unity3d.com/issues/triggers-hide-light-flares,
2017.3.0a1,911933,Existing Issue (show in final notes),Particles,Improved Frame Debugger messages for when dynamic batches using Particle Systems are broken,Richard Kettlewell,,https://issuetracker.unity3d.com/issues/mesh-particle-system-prevents-batching-when-using-it-with-default-particle-material,
2017.3.0a1,925306,Backporting (show in alpha/beta notes only),Editor,Fix styles not applying on VisualElement and hover state not working on some controls,Mikaël Brochu,,,
2017.3.0a1,,2017.3 Feature/Regression,Video,Skybox Panoramic shader for support of 2D/3D 180/360/Cubemap video support,Toulouse,,,
2017.3.0a1,,Internal,Android,Buildpipe - remove AAPT retry as it didn't really solve test issues,Yury Habets,,,
2017.3.0a1,,Backporting (show in alpha/beta notes only),Asset Pipeline,Serialization - Disable support for opposite endinanness asset bundles,Yury Habets,,,
2017.3.0a1,915891,Existing Issue (show in final notes),Android,"Android: Add ""Low Accuracy Location"" checkbox to player settings",Julius Miknevicius,,https://issuetracker.unity3d.com/issues/android-access-fine-location-permission-is-included-in-the-androidmanifest-dot-xml-when-its-not-supposed-to,
2017.3.0a1,925658,Backporting (show in alpha/beta notes only),Android,Android: Correctly scale static splash screen image,Julius Miknevicius,,https://issuetracker.unity3d.com/issues/android-the-size-of-splash-screen-become-small-if-there-are-images-by-each-resolutions,
2017.3.0a1,,Internal,Android,Android: Use YIELD for atomic_pause on >ARM5 platforms,Alexey Zakharov,,,
2017.3.0a1,900210,Backporting (show in alpha/beta notes only),Editor,Fixed invalid Event.current.delta in transformed IMGUIContainer,Martin Côté,,,
2017.3.0a1,,2017.3 Feature/Regression,Build Pipeline,Adding additional optional command line parameters to Binary2Text.exe,Joseph Scheinber,,,
2017.3.0a1,,2017.3 Feature/Regression,Editor,"VisualElements have their own transform, with position, rotation and scale on three axis",Mikaël Brochu,,,
2017.3.0a1,926516,Existing Issue (show in final notes),Scripting,Fix to prevent domain reload when in play mode in the editor due to missing script reference in asset bundles,Paul Burslem,,https://issuetracker.unity3d.com/issues/appdomain-is-unloaded-when-a-an-asset-referencing-another-bundles-assets-child-is-loaded-from-an-assetbundle,
2017.3.0a1,927707,Internal,Build Pipeline,Fix to call ProcessScene for all scenes and with the correct scene parameter,Paul Burslem,,,
2017.3.0a1,,2017.3 Feature/Regression,XR,Move access to Async Video Reprojection to outside of UnityPlayerActivity so that users don't have to subclass.,Joe Jones,,,
2017.3.0a1,,Backporting (show in alpha/beta notes only),GI,Progressive Lightmapper: Fixed a crash in light probe rendering occurring when changing or removing probes.,Kuba Cupisz,,,
2017.3.0a1,,2017.3 Feature/Regression,Editor,"Added a new ""Transform Tool"" to position, rotate and scale transforms",Frédéric Vauchelles,,,
2017.3.0a1,,Internal,Build Pipeline,bug fix in scene view window.,Bill Ramsour,,,
2017.3.0a1,927883,Backporting (show in alpha/beta notes only),Services,Fix issue where Performance Reporting symbol upload tool could crash,Thomas Nicholson,,,
2017.3.0a1,923517,Backporting (show in alpha/beta notes only),IL2CPP,Fixed an issue with setting enum type fields in .NET 4x with relfection using an integer value.,Brian Raderman,,https://issuetracker.unity3d.com/issues/uwp-casting-int32-to-enum-fails-on-runtime-when-app-is-built-with-il2cpp-backend,
2017.3.0a1,919058,Backporting (show in alpha/beta notes only),IL2CPP,Fix a crash in QueryComponentByType when animation is used with engine code stripping enabled and there is no Sprite Renderer component in any scene in the build.,Josh Peterson,,https://issuetracker.unity3d.com/issues/il2cpp-crash-in-querycomponentbytype-inlined-isderivedfrom-at-typeinfo-dot-h,
2017.3.0a1,,2017.3 Feature/Regression,Universal Windows Platform,Add support for transparent swapchain for XAML projects,,,,
2017.3.0a1,,Backporting (show in alpha/beta notes only),Multiplayer,Reliable messages exchanging has been staled after couple of hours,Alex Abramychev,,,
2017.3.0a1,926828,Backporting (show in alpha/beta notes only),2D,Fix rendering bounds of Tilemap when tiles are placed in an axis outside of the Tilemap orientation (eg. Z axis for XY orientation),Chuan Xin Lim,,https://issuetracker.unity3d.com/issues/tilemap-stops-rendering-when-still-in-cameras-view,
2017.3.0a1,,Backporting (show in alpha/beta notes only),Editor,Don't try to display first-run dialog in batch mode on Linux,Levi Bard,,,
2017.3.0a1,912675,Backporting (show in alpha/beta notes only),Linux,Correctly set icon for game window,Levi Bard,,https://issuetracker.unity3d.com/issues/linux-unity-player-icon-missing-in-builds,
2017.3.0a1,912675,Backporting (show in alpha/beta notes only),Linux,Set default Unity icon when no icon is selected,Levi Bard,,https://issuetracker.unity3d.com/issues/linux-unity-player-icon-missing-in-builds,
2017.3.0a1,,Backporting (show in alpha/beta notes only),Timeline,Enabled timeline analytics,Vlad Lazar,,,
2017.3.0a1,923088,Existing Issue (show in final notes),Editor,Fixed crash when clicking Gizmos button in Scene view.,Salvador Jacobi,,https://issuetracker.unity3d.com/issues/unity-crashes-after-clicking-on-gizmo-menu-in-scene-view,
2017.3.0a1,920533,Existing Issue (show in final notes),Editor,Fixed planar handles of position handle using absolute mouse position instead of relative.,Salvador Jacobi,,https://issuetracker.unity3d.com/issues/inconsistent-behavior-and-artifacts-appearing-when-object-with-trail-renderer-is-dragged-off-screen-by-cursor,
2017.3.0a1,914937,Existing Issue (show in final notes),Editor,"Fixed ""Help > Software Licenses"" menu item not working when editor application has spaces in path (macOS).",Salvador Jacobi,,https://issuetracker.unity3d.com/issues/osx-clicking-help-software-licenses-on-a-mac-doesnt-open-anything,
2017.3.0a1,,Backporting (show in alpha/beta notes only),Editor,Fixed temporary tutorial project opened from launcher not giving the user the option to keep the project on quit.,Salvador Jacobi,,,
2017.3.0a1,920973,Existing Issue (show in final notes),Animation,Fixed animations that reference script properties that are in asset bundles,Joseph Scheinberg,,https://issuetracker.unity3d.com/issues/c-number-script-properties-are-not-blended-during-animation-transitions-when-clips-are-runtime-changed-on-an-overridecontroller,
2017.3.0a1,924597,Existing Issue (show in final notes),GI,Fixed issue where GI data wasn't loading properly from Asset Bundles.,Ryan Caltabiano,,https://issuetracker.unity3d.com/issues/assetbundles-work-incorrectly-with-gi-data,
2017.3.0a1,927291,Existing Issue (show in final notes),Scripting,Fixed crash when calling SerializedObject.CopyFromSerializedProperty(null),Lukasz Paczkowski,,https://issuetracker.unity3d.com/issues/serializedobject-dot-copyfromserializedproperty-null-crashes-the-editor,
2017.3.0a1,926815,Existing Issue (show in final notes),Editor,Fixed issue where trying to exit Avatar Configuration would not open a new scene and lock the inspector,,,,
2017.3.0a1,893527,Backporting (show in alpha/beta notes only),Android,Fix video looping on some Android <=4.2.2 devices,Ricardas Jonaitis,,https://issuetracker.unity3d.com/issues/videoplayer-h264-videos-dont-loop-on-android-4-dot-1-and-4-dot-2-devices,
2017.3.0a1,915829,Existing Issue (show in final notes),Editor,Fix null reference exception on scene view drop,Levi Bard,,https://issuetracker.unity3d.com/issues/linux-editor-dragging-prefabs-to-scene-results-in-nullreferenceexception-and-removal-of-previous-prefab-in-the-scene,
2017.3.0a1,914534,Existing Issue (show in final notes),Editor,Don't show incorrect label inspectors on folders in the project browser,Levi Bard,,,
2017.3.0a1,858928,Backporting (show in alpha/beta notes only),Editor,Ensure we always provide an asset preview,Levi Bard,,https://issuetracker.unity3d.com/issues/assetpreview-dissapears-after-clearing-cache-when-using-renderstaticpreview,
2017.3.0a1,,Internal,Editor,Fixed lots of compiler warnings that we were supressing with a whitelist (https://ono.unity3d.com/unity/unity/pull-request/48130/_/se/dev/compiler-warnings),Chris Pacey,,,
2017.3.0a1,,Backporting (show in alpha/beta notes only),Editor,Fix video import crash on Linux,Levi Bard,,,
2017.3.0a1,828427,Existing Issue (show in final notes),Shaders,Shaders: Added in standard shader a warning if bump scale is used on mobile platform,Lukas Chodosevičius,,https://issuetracker.unity3d.com/issues/android-normalmap-scale-is-ignored-on-android-devices,
2017.3.0a1,904471,Existing Issue (show in final notes),Windows,Windows: Fixed switching to full screen from windowed when using dx11.,,,https://issuetracker.unity3d.com/issues/button-game-object-hitbox-moves-above-when-switching-to-fullscreen-in-exclusive-mode,
2017.3.0a1,922641,Existing Issue (show in final notes),UI,Fixed a bug where images would not render if they started disabled.,Theo Richart,,,
2017.3.0a1,912789,Existing Issue (show in final notes),UI,Fixed a memory leak in the UGUI profiler,Theo Richart,,https://issuetracker.unity3d.com/issues/possible-memory-leak-for-development-mode-standalone,
2017.3.0a1,923377,Existing Issue (show in final notes),Build Pipeline,"Fix ""Must set an output directory through SetCompileScriptsOutputDirectory before compiling"" error when importing some asset packages",Josephs Scheinberg,,https://issuetracker.unity3d.com/issues/error-must-set-an-output-directory-through-setcompilescriptsoutputdirectory-before-compiling-after-importing-standard-assets,
2017.3.0a1,925628,Internal,Build Pipeline,Fixed counter display issue in BuildSettings window.,Bill Ramsour,,,
2017.3.0a1,931111,2017.3 Feature/Regression,Build Pipeline,Remove app_name resources in GVR library to avoid accidental app_name replacement,Joe Jones,,,
2017.3.0a2,911008,Backporting (show in alpha/beta notes only),Universal Windows Platform,Fixed the issue where locking the mouse in UWP player would cause wrong values returned from Input.GetAxis() on the next Update,Andrei Aristarkhov,,https://issuetracker.unity3d.com/issues/uwp-input-mouse-axies-return-invalid-values-in-the-first-frame-after-locking-cursor,
2017.3.0a2,927848,Backporting (show in alpha/beta notes only),Universal Windows Platform,Fixed UWP build failure with Unity Analytics enabled,Andrei Aristarkhov,,,
2017.3.0a2,922577,Existing Issue (show in final notes),Scripting Upgrade,Fixes an issue where assemblies built with .NET 4.6 fail to be imported,Michael DeRoy,,https://issuetracker.unity3d.com/issues/assemblies-built-with-net-4-dot-6-are-not-loaded-on-their-first-import,
2017.3.0a2,908903,Backporting (show in alpha/beta notes only),Shaders,Vulkan fixed rare incorrect shader generation on expressions with write masks.,Mikko Strandborg,,,
2017.3.0a2,818304,Backporting (show in alpha/beta notes only),Graphics,"Fixed issue where plane normal would not be normalised when using Plane(Vector3 inNormal, Vector3 inPoint).",Rune Stubbe,,https://issuetracker.unity3d.com/issues/the-plane-struct-constructor-calculates-distance-wrong-if-the-normal-vector-isnt-normalized,
2017.3.0a2,694728,Backporting (show in alpha/beta notes only),Graphics,Fixed incorrect shadows appearing in the scene view when visualizing occlusion culling,Felipe Lira,,,
2017.3.0a2,,Backporting (show in alpha/beta notes only),GI,Fix lightmaps being darker on mobiles when linear color space is used.,Ionut Nedelcu,,,
2017.3.0a2,811757,Backporting (show in alpha/beta notes only),Graphics,Fixed runtime crash when modifying skinned mesh and GPU Skinning is enabled.,Andrius Keidonas,,https://issuetracker.unity3d.com/issues/skinnedmesh-runtime-modifying-skinned-mesh-w-slash-gpu-skinning-on-crashes,
2017.3.0a2,903736,Backporting (show in alpha/beta notes only),Graphics,Fixed out of memory error when importing 8192x8192 32-bit cubemap.,Rune Stubbe,,https://issuetracker.unity3d.com/issues/importing-large-32bit-cubemap-with-max-size-set-on-8192-throws-overflow-in-memory-allocator,
2017.3.0a2,879450,Backporting (show in alpha/beta notes only),Graphics,"Fixed ""Screen position out of view frustum"" when viewport width or height are very small (less than 0.0001).",Rune Stubbe,,https://issuetracker.unity3d.com/issues/screen-position-out-of-view-frustum-error-in-the-console-when-camera-viewport-rect-height-is-set-to-0-dot-0001-or-lower,
2017.3.0a2,909148,Backporting (show in alpha/beta notes only),Graphics,"Fixed ""Tiled GPU perf. warning: RenderTexture color surface was not cleared/discarded doing..."" in Unity when emulating OpenGL ES 2.0 or 3.0.",Juho Oravainen,,https://issuetracker.unity3d.com/issues/tiled-gpu-perf-warning-rendertexture-color-surface-was-not-cleared-slash-discarded-doing-graphics-dot-blit-on-emulated-graphics,
2017.3.0a2,869380,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when a model has blendshapes but no vertex data.,Rune Stubbe,,https://issuetracker.unity3d.com/issues/trygetvalue-crashes-editor-when-rebuilding-procedural-mesh,
2017.3.0a2,903537,Backporting (show in alpha/beta notes only),Graphics,Fixed lighting rendering when using multiple cameras and at least one camera renders to a RenderTexture.,Tim Cooper,,https://issuetracker.unity3d.com/issues/secondary-cameras-with-rendertextures-do-not-render-lighting,
2017.3.0a2,903772,Backporting (show in alpha/beta notes only),Shaders,Fixed errors in the specular calculation in surface shaders by adding normalize after the tangent to world transform.,Rune Stubbe,,https://issuetracker.unity3d.com/issues/image-effects-produce-white-square-like-artifacts-on-shiny-suface-using-custom-shader,
2017.3.0a2,909569,Backporting (show in alpha/beta notes only),Graphics,Fixed importing of single channel uint16 textures.,Rune Stubbe,,https://issuetracker.unity3d.com/issues/could-not-create-texture-error-is-shown-after-importing-texture,
2017.3.0a2,910464,Backporting (show in alpha/beta notes only),Graphics,Fixed memory leak in the Unity scene view.,TIm Cooper,,https://issuetracker.unity3d.com/issues/memory-leak-when-traversing-through-prefab-instances,
2017.3.0a2,911910,Backporting (show in alpha/beta notes only),Graphics,Fixed issue that after clearing occlusion data occlusion view volumes were still visible.,Felipe Lira,,,
2017.3.0a2,911654,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when instancing is enabled on specific Material.,Xiao Ling Yao,,https://issuetracker.unity3d.com/issues/built-game-crash-when-instancing-is-enabled-on-material,
2017.3.0a2,878317,Backporting (show in alpha/beta notes only),Graphics,Fixed rare crash caused by recursive rendering ie. Camera.Render() or Water rendering.,Andrius Keidonas,,https://issuetracker.unity3d.com/issues/crash-after-error-in-camera-dot-cpp-when-rotating-a-standard-asset-gameobject,
2017.3.0a2,912332,Backporting (show in alpha/beta notes only),Graphics,Fixed static batching shadow rendering to use less drawcalls.,Yuanxing Cai,,https://issuetracker.unity3d.com/issues/staticbatching-unneeded-individual-shadow-batching-calls-are-issued-when-certain-material-is-selected-in-project-folder,
2017.3.0a2,909953,Backporting (show in alpha/beta notes only),Graphics,Fixed scene lighting in Unity to stop it being effected by other editor windows eg. material editor.,Tim Cooper,,https://issuetracker.unity3d.com/issues/lighting-is-affected-when-selecting-material-on-project-view-and-inspector-window-is-in-focus-slash-visible,
2017.3.0a2,912603,Backporting (show in alpha/beta notes only),Graphics,Fixed sRGB flag returning false on the LDR target texture from a HDR to LDR image effect in a linear project.,Tim Cooper,,https://issuetracker.unity3d.com/issues/hdr-to-ldr-image-effect-doesnt-have-srgb-enabled-when-using-linear-color-space,
2017.3.0a2,909992,Backporting (show in alpha/beta notes only),Graphics,Fixed a light attached to scene view camera not lighting the scene when lights are toggled off.,TIm Cooper,,https://issuetracker.unity3d.com/issues/light-attached-to-scene-view-camera-does-not-light-up-the-scene-if-lights-are-toggled-off,
2017.3.0a2,908150,Backporting (show in alpha/beta notes only),Graphics,Fixed Lightmap conversion assert when switching platform from PC to Android/iOS.,Ionut Nedelcu,,https://issuetracker.unity3d.com/issues/lightmap-format-switching-platform-from-pc-to-android-slash-ios-causes-lightmap-conversion-to-throw-assert,
2017.3.0a2,913612,Backporting (show in alpha/beta notes only),Graphics,Fixed Nav Mesh Preview in Scene View being affected by lighting.,Tim Cooper,,https://issuetracker.unity3d.com/issues/nav-mesh-preview-in-scene-view-is-affected-by-lighting,
2017.3.0a2,898793,Backporting (show in alpha/beta notes only),Graphics,Fixed crash in RenderStaticBatch when dynamic batching is enabled and with specific mesh topology.,Venkatesh SC,,https://issuetracker.unity3d.com/issues/with-a-particular-mesh-and-dynamic-batching-some-artefacts-show-up-in-the-view-and-unity-crashes-in,
2017.3.0a2,910659,Backporting (show in alpha/beta notes only),Graphics,Fixed lights do not render correctly when using a camera with a RenderTexture and non-fullscreen viewport.,Tim Cooper,,https://issuetracker.unity3d.com/issues/lights-do-not-render-correctly-on-rendertexture-between-camera-rect-values-0-and-0-dot-5,
2017.3.0a2,910036,Backporting (show in alpha/beta notes only),Graphics,Fixed rendering issues when using a camera with a RenderTexture and non-fullscreen viewport.,Tim Cooper,,,
2017.3.0a2,899729,Existing Issue (show in final notes),Shaders,Fixing shadow precision into fp32 for mobile platforms.,Lukas Chodosevičius,,https://issuetracker.unity3d.com/issues/mobile-realtime-shadows-pixelate-on-opengl,
2017.3.0a2,907755,Backporting (show in alpha/beta notes only),Video,Fixed audio playback when audio source is disabled in VideoPlayer.,Francis Bertrand,,https://issuetracker.unity3d.com/issues/video-player-plays-audio-even-though-audio-source-is-disabled,
2017.3.0a2,888745,Backporting (show in alpha/beta notes only),Video,Fixed performance issues when creating/releasing VideoPlayer.,Francis Bertrand,,,
2017.3.0a2,923355,Backporting (show in alpha/beta notes only),Editor,Fixed crash when adding components to GameObjects via the Inspector 'Add Component' window.,Richard Fine,,,
